node_id,lat_centro,lon_centro,n_accidentes,n_graves,n_mortales,n_alcohol,sensores_imd_500m,idx_peligrosidad,categoria
PN_0291,40.39177069215133,-3.6951061416202466,26,5,1,0,65,0.1431,CRITICO
PN_0292,40.39326341702109,-3.660046727791942,41,5,0,8,47,0.143,ALTO
PN_0293,40.407062338959804,-3.6898173067298625,72,3,0,3,49,0.1428,CRITICO
PN_0294,40.466057509610295,-3.667929949648736,38,3,1,0,60,0.1426,CRITICO
PN_0295,40.421049811957744,-3.6839382319713985,41,8,0,3,48,0.1425,ALTO
PN_0296,40.4329870020613,-3.7179415290128306,47,7,0,3,72,0.1423,ALTO
PN_0297,40.36692628306734,-3.6941318761859705,47,7,0,3,70,0.1423,ALTO
PN_0298,40.35103231888821,-3.693072048513322,43,7,0,4,25,0.1419,ALTO
PN_0299,40.382009729733625,-3.667975452842357,49,6,0,4,42,0.1417,ALTO
PN_0300,40.43294108711177,-3.6857539069441976,39,7,0,5,60,0.1416,ALTO
PN_0301,40.429949975484966,-3.7089721622929734,60,6,0,1,67,0.1413,CRITICO
PN_0302,40.374816423315295,-3.6822133064929967,50,7,0,2,4,0.1412,CRITICO
PN_0303,40.394967821087356,-3.6389967945637753,66,5,0,1,45,0.141,CRITICO
PN_0304,40.4292265091565,-3.6892214103556578,35,10,0,1,48,0.1407,ALTO
